nohup: 忽略输入
Start loading the data....
  - Found cached train data
  - Found cached valid data
  - Found cached test data
Finish loading the data....
### Note: You are running in unaligned mode.
406523
Epoch  5 | Batch 540/1020 | Time/Batch(ms) 221.37 | Train Loss 0.7731 | lr  0.001
Epoch  5 | Batch 570/1020 | Time/Batch(ms) 225.44 | Train Loss 0.7570 | lr  0.001
Epoch  5 | Batch 600/1020 | Time/Batch(ms) 230.65 | Train Loss 0.7870 | lr  0.001
Epoch  5 | Batch 630/1020 | Time/Batch(ms) 230.49 | Train Loss 0.7244 | lr  0.001
Epoch  5 | Batch 660/1020 | Time/Batch(ms) 226.63 | Train Loss 0.7380 | lr  0.001
Epoch  5 | Batch 690/1020 | Time/Batch(ms) 230.20 | Train Loss 0.7536 | lr  0.001
Epoch  5 | Batch 720/1020 | Time/Batch(ms) 227.57 | Train Loss 0.7001 | lr  0.001
Epoch  5 | Batch 750/1020 | Time/Batch(ms) 230.88 | Train Loss 0.7427 | lr  0.001
Epoch  5 | Batch 780/1020 | Time/Batch(ms) 231.40 | Train Loss 0.7499 | lr  0.001
Epoch  5 | Batch 810/1020 | Time/Batch(ms) 231.06 | Train Loss 0.7571 | lr  0.001
Epoch  5 | Batch 840/1020 | Time/Batch(ms) 229.97 | Train Loss 0.7499 | lr  0.001
Epoch  5 | Batch 870/1020 | Time/Batch(ms) 232.61 | Train Loss 0.7751 | lr  0.001
Epoch  5 | Batch 900/1020 | Time/Batch(ms) 230.86 | Train Loss 0.7328 | lr  0.001
Epoch  5 | Batch 930/1020 | Time/Batch(ms) 230.71 | Train Loss 0.7706 | lr  0.001
Epoch  5 | Batch 960/1020 | Time/Batch(ms) 232.26 | Train Loss 0.7202 | lr  0.001
Epoch  5 | Batch 990/1020 | Time/Batch(ms) 231.99 | Train Loss 0.7452 | lr  0.001
Epoch  5 | Batch 1020/1020 | Time/Batch(ms) 226.87 | Train Loss 0.7711 | lr  0.001
--------------------------------------------------
Epoch  5 | Time 274.8806 sec | Valid Loss 0.6517 | Test Loss 0.6956 | f1 0.7698110572988237 | acc 0.7666483214089158 | mae 0.695575475692749 | corr 0.5692524415138438 | mult_a7 0.4412964155398154 | mult_a5 0.44151105387422196 | mult_a2 0.7213994419403306
--------------------------------------------------
Epoch  6 | Batch  30/1020 | Time/Batch(ms) 233.68 | Train Loss 0.7631 | lr  0.001
Epoch  6 | Batch  60/1020 | Time/Batch(ms) 227.96 | Train Loss 0.7008 | lr  0.001
